Comment,Comment_Lower,Tokens,No_Punctuation,No_Stopwords,Stemmed,Lemmatized,Translated,Emoji_Text
"@LeilaGharani I hope you can really help me.<br>I have a csv file on excel and I have half-yearly data.<br>I want to have only yearly data so would you say I should cancel all the first half of the year data and keep the last one, or should I do like a merging of the two semesters?","@leilagharani i hope you can really help me.<br>i have a csv file on excel and i have half-yearly data.<br>i want to have only yearly data so would you say i should cancel all the first half of the year data and keep the last one, or should i do like a merging of the two semesters?","['@', 'leilagharani', 'i', 'hope', 'you', 'can', 'really', 'help', 'me.', '<', 'br', '>', 'i', 'have', 'a', 'csv', 'file', 'on', 'excel', 'and', 'i', 'have', 'half-yearly', 'data.', '<', 'br', '>', 'i', 'want', 'to', 'have', 'only', 'yearly', 'data', 'so', 'would', 'you', 'say', 'i', 'should', 'cancel', 'all', 'the', 'first', 'half', 'of', 'the', 'year', 'data', 'and', 'keep', 'the', 'last', 'one', ',', 'or', 'should', 'i', 'do', 'like', 'a', 'merging', 'of', 'the', 'two', 'semesters', '?']","['leilagharani', 'i', 'hope', 'you', 'can', 'really', 'help', 'br', 'i', 'have', 'a', 'csv', 'file', 'on', 'excel', 'and', 'i', 'have', 'br', 'i', 'want', 'to', 'have', 'only', 'yearly', 'data', 'so', 'would', 'you', 'say', 'i', 'should', 'cancel', 'all', 'the', 'first', 'half', 'of', 'the', 'year', 'data', 'and', 'keep', 'the', 'last', 'one', 'or', 'should', 'i', 'do', 'like', 'a', 'merging', 'of', 'the', 'two', 'semesters']","['leilagharani', 'hope', 'really', 'help', 'br', 'csv', 'file', 'excel', 'br', 'want', 'yearly', 'data', 'would', 'say', 'cancel', 'first', 'half', 'year', 'data', 'keep', 'last', 'one', 'like', 'merging', 'two', 'semesters']","['leilagharani', 'hope', 'realli', 'help', 'br', 'csv', 'file', 'excel', 'br', 'want', 'yearli', 'data', 'would', 'say', 'cancel', 'first', 'half', 'year', 'data', 'keep', 'last', 'one', 'like', 'merg', 'two', 'semest']","['leilagharani', 'hope', 'really', 'help', 'br', 'csv', 'file', 'excel', 'br', 'want', 'yearly', 'data', 'would', 'say', 'cancel', 'first', 'half', 'year', 'data', 'keep', 'last', 'one', 'like', 'merging', 'two', 'semester']","@ leilagharani હું આશા રાખું છું કે તમે ખરેખર મને મદદ કરી શકો છો. મારી<br>પાસે એક્સેલ પર સીએસવી ફાઇલ છે અને મારી પાસે અર્ધવાર્ષિક ડેટા<br>છે. મારી પાસે ફક્ત વાર્ષિક ડેટા છે તેથી શું તમે કહો છો કે મારે વર્ષના તમામ પ્રથમ અર્ધવાર્ષિક ડેટાને રદ કરવો જોઈએ અને છેલ્લો રાખવો જોઈએ, અથવા મારે બે સેમેસ્ટરના મર્જર જેવું કરવું જોઈએ?","@LeilaGharani I hope you can really help me.<br>I have a csv file on excel and I have half-yearly data.<br>I want to have only yearly data so would you say I should cancel all the first half of the year data and keep the last one, or should I do like a merging of the two semesters?"
This is amazing!!!,this is amazing!!!,"['this', 'is', 'amazing', '!', '!', '!']","['this', 'is', 'amazing']",['amazing'],['amaz'],['amazing'],આ અદભૂત છે. ,This is amazing!!!
Brilliant!! I wish MS would hurry up and add these features to my 365!!,brilliant!! i wish ms would hurry up and add these features to my 365!!,"['brilliant', '!', '!', 'i', 'wish', 'ms', 'would', 'hurry', 'up', 'and', 'add', 'these', 'features', 'to', 'my', '365', '!', '!']","['brilliant', 'i', 'wish', 'ms', 'would', 'hurry', 'up', 'and', 'add', 'these', 'features', 'to', 'my', '365']","['brilliant', 'wish', 'ms', 'would', 'hurry', 'add', 'features', '365']","['brilliant', 'wish', 'ms', 'would', 'hurri', 'add', 'featur', '365']","['brilliant', 'wish', 'm', 'would', 'hurry', 'add', 'feature', '365']",તેજસ્વી!!! હું ઈચ્છું છું કે એમએસ ઉતાવળ કરે અને આ સુવિધાઓને મારા 365 માં ઉમેરે!!,Brilliant!! I wish MS would hurry up and add these features to my 365!!
i have a problem madam will u solve it? If C4=Holiday then merge cells C4:C10,i have a problem madam will u solve it? if c4=holiday then merge cells c4:c10,"['i', 'have', 'a', 'problem', 'madam', 'will', 'u', 'solve', 'it', '?', 'if', 'c4=holiday', 'then', 'merge', 'cells', 'c4', ':', 'c10']","['i', 'have', 'a', 'problem', 'madam', 'will', 'u', 'solve', 'it', 'if', 'then', 'merge', 'cells', 'c4', 'c10']","['problem', 'madam', 'u', 'solve', 'merge', 'cells', 'c4', 'c10']","['problem', 'madam', 'u', 'solv', 'merg', 'cell', 'c4', 'c10']","['problem', 'madam', 'u', 'solve', 'merge', 'cell', 'c4', 'c10']",મને સમસ્યા છે મેડમ શું તમે તેને હલ કરશો? જો c4 =રજા હોય તો કોષો મર્જ કરો c4:c10,i have a problem madam will u solve it? If C4=Holiday then merge cells C4:C10
Good job.,good job.,"['good', 'job', '.']","['good', 'job']","['good', 'job']","['good', 'job']","['good', 'job']",ખુબજ સરસ !!,Good job.
"Let me know what I think???? Well, my jaw has dropped on the floor with rest of my brain to start with! Sorry I need to replay this again!!! Tell ya all later!! Ow! Yeah You’re magical!!! Unbelievable!!!!!❤","let me know what i think???? well, my jaw has dropped on the floor with rest of my brain to start with! sorry i need to replay this again!!! tell ya all later!! ow! yeah you’re magical!!! unbelievable!!!!!❤","['let', 'me', 'know', 'what', 'i', 'think', '?', '?', '?', '?', 'well', ',', 'my', 'jaw', 'has', 'dropped', 'on', 'the', 'floor', 'with', 'rest', 'of', 'my', 'brain', 'to', 'start', 'with', '!', 'sorry', 'i', 'need', 'to', 'replay', 'this', 'again', '!', '!', '!', 'tell', 'ya', 'all', 'later', '!', '!', 'ow', '!', 'yeah', 'you', '’', 're', 'magical', '!', '!', '!', 'unbelievable', '!', '!', '!', '!', '!', '❤']","['let', 'me', 'know', 'what', 'i', 'think', 'well', 'my', 'jaw', 'has', 'dropped', 'on', 'the', 'floor', 'with', 'rest', 'of', 'my', 'brain', 'to', 'start', 'with', 'sorry', 'i', 'need', 'to', 'replay', 'this', 'again', 'tell', 'ya', 'all', 'later', 'ow', 'yeah', 'you', 're', 'magical', 'unbelievable']","['let', 'know', 'think', 'well', 'jaw', 'dropped', 'floor', 'rest', 'brain', 'start', 'sorry', 'need', 'replay', 'tell', 'ya', 'later', 'ow', 'yeah', 'magical', 'unbelievable']","['let', 'know', 'think', 'well', 'jaw', 'drop', 'floor', 'rest', 'brain', 'start', 'sorri', 'need', 'replay', 'tell', 'ya', 'later', 'ow', 'yeah', 'magic', 'unbeliev']","['let', 'know', 'think', 'well', 'jaw', 'dropped', 'floor', 'rest', 'brain', 'start', 'sorry', 'need', 'replay', 'tell', 'ya', 'later', 'ow', 'yeah', 'magical', 'unbelievable']","મને જણાવો કે હું શું વિચારું છું????? સારું, મારા જડબામાં શરૂઆત કરવા માટે મારા બાકીના મગજ સાથે ફ્લોર પર પડી ગયો છે! માફ કરશો મારે ફરીથી આ ફરીથી ચલાવવાની જરૂર છે!!! પછીથી કહો! ઓહ! હા તમે જાદુઈ છો!!!! અવિશ્વસનીય!!!!❤","Let me know what I think???? Well, my jaw has dropped on the floor with rest of my brain to start with! Sorry I need to replay this again!!! Tell ya all later!! Ow! Yeah You’re magical!!! Unbelievable!!!!!:red_heart:"
if you please Leila share workbook  of  episode,if you please leila share workbook  of  episode,"['if', 'you', 'please', 'leila', 'share', 'workbook', 'of', 'episode']","['if', 'you', 'please', 'leila', 'share', 'workbook', 'of', 'episode']","['please', 'leila', 'share', 'workbook', 'episode']","['pleas', 'leila', 'share', 'workbook', 'episod']","['please', 'leila', 'share', 'workbook', 'episode']",જો તમે કૃપા કરીને એપિસોડની વર્કબુક શેર કરો,if you please Leila share workbook  of  episode
Excellent. Thanks for keeping us updated with the new features.,excellent. thanks for keeping us updated with the new features.,"['excellent', '.', 'thanks', 'for', 'keeping', 'us', 'updated', 'with', 'the', 'new', 'features', '.']","['excellent', 'thanks', 'for', 'keeping', 'us', 'updated', 'with', 'the', 'new', 'features']","['excellent', 'thanks', 'keeping', 'us', 'updated', 'new', 'features']","['excel', 'thank', 'keep', 'us', 'updat', 'new', 'featur']","['excellent', 'thanks', 'keeping', 'u', 'updated', 'new', 'feature']",ઉત્તમ. અમને નવી સુવિધાઓ સાથે અપડેટ રાખવા બદલ આભાર.,Excellent. Thanks for keeping us updated with the new features.
Hey Leila just wanted to check if we have any similar kind of arrayformula function of Google sheets in excel as that gives us an option to enter formula in one cell which populates values in multiple rows and columns..,hey leila just wanted to check if we have any similar kind of arrayformula function of google sheets in excel as that gives us an option to enter formula in one cell which populates values in multiple rows and columns..,"['hey', 'leila', 'just', 'wanted', 'to', 'check', 'if', 'we', 'have', 'any', 'similar', 'kind', 'of', 'arrayformula', 'function', 'of', 'google', 'sheets', 'in', 'excel', 'as', 'that', 'gives', 'us', 'an', 'option', 'to', 'enter', 'formula', 'in', 'one', 'cell', 'which', 'populates', 'values', 'in', 'multiple', 'rows', 'and', 'columns', '..']","['hey', 'leila', 'just', 'wanted', 'to', 'check', 'if', 'we', 'have', 'any', 'similar', 'kind', 'of', 'arrayformula', 'function', 'of', 'google', 'sheets', 'in', 'excel', 'as', 'that', 'gives', 'us', 'an', 'option', 'to', 'enter', 'formula', 'in', 'one', 'cell', 'which', 'populates', 'values', 'in', 'multiple', 'rows', 'and', 'columns']","['hey', 'leila', 'wanted', 'check', 'similar', 'kind', 'arrayformula', 'function', 'google', 'sheets', 'excel', 'gives', 'us', 'option', 'enter', 'formula', 'one', 'cell', 'populates', 'values', 'multiple', 'rows', 'columns']","['hey', 'leila', 'want', 'check', 'similar', 'kind', 'arrayformula', 'function', 'googl', 'sheet', 'excel', 'give', 'us', 'option', 'enter', 'formula', 'one', 'cell', 'popul', 'valu', 'multipl', 'row', 'column']","['hey', 'leila', 'wanted', 'check', 'similar', 'kind', 'arrayformula', 'function', 'google', 'sheet', 'excel', 'give', 'u', 'option', 'enter', 'formula', 'one', 'cell', 'populates', 'value', 'multiple', 'row', 'column']",હે લીલા ફક્ત તપાસવા માંગતી હતી કે શું આપણી પાસે એક્સેલમાં ગૂગલ શીટ્સનું કોઈ સમાન પ્રકારનું એરેફોર્મ્યુલા ફંક્શન છે કે કેમ કારણ કે તે આપણને એક કોષમાં સૂત્ર દાખલ કરવાનો વિકલ્પ આપે છે જે બહુવિધ પંક્તિઓ અને સ્તંભોમાં મૂલ્યોને પોપ્યુલેટ કરે છે..,Hey Leila just wanted to check if we have any similar kind of arrayformula function of Google sheets in excel as that gives us an option to enter formula in one cell which populates values in multiple rows and columns..
Cool,cool,['cool'],['cool'],['cool'],['cool'],['cool'],ઠંડુ,Cool
can ChatGPT do this???,can chatgpt do this???,"['can', 'chatgpt', 'do', 'this', '?', '?', '?']","['can', 'chatgpt', 'do', 'this']",['chatgpt'],['chatgpt'],['chatgpt'],શું ચેટજીપીટી આ કરી શકે છે????,can ChatGPT do this???
Thanks Leila  :),thanks leila  :),"['thanks', 'leila', ':', ')']","['thanks', 'leila']","['thanks', 'leila']","['thank', 'leila']","['thanks', 'leila']",આભાર લીલા  :),Thanks Leila  :)
Thank god this feature is finally coming to excel.,thank god this feature is finally coming to excel.,"['thank', 'god', 'this', 'feature', 'is', 'finally', 'coming', 'to', 'excel', '.']","['thank', 'god', 'this', 'feature', 'is', 'finally', 'coming', 'to', 'excel']","['thank', 'god', 'feature', 'finally', 'coming', 'excel']","['thank', 'god', 'featur', 'final', 'come', 'excel']","['thank', 'god', 'feature', 'finally', 'coming', 'excel']",ભગવાનનો આભાર કે આ સુવિધા આખરે એક્સેલ પર આવી રહી છે.,Thank god this feature is finally coming to excel.
Thank you sincerely,thank you sincerely,"['thank', 'you', 'sincerely']","['thank', 'you', 'sincerely']","['thank', 'sincerely']","['thank', 'sincer']","['thank', 'sincerely']",આપનો ખૂબ ખૂબ આભાર,Thank you sincerely
"I have an excel file that I use for work, specifically car parks. The data I use are the following, license plate number, time of entry, time of exit, duration of stay, and based on these the price is calculated.<br>Sometimes I mistakenly click on the classification, as a result of which the numbers get confused, i.e. they get mixed up.  If I don&#39;t understand it right away to reverse it with undo, what options do I have?","i have an excel file that i use for work, specifically car parks. the data i use are the following, license plate number, time of entry, time of exit, duration of stay, and based on these the price is calculated.<br>sometimes i mistakenly click on the classification, as a result of which the numbers get confused, i.e. they get mixed up.  if i don&#39;t understand it right away to reverse it with undo, what options do i have?","['i', 'have', 'an', 'excel', 'file', 'that', 'i', 'use', 'for', 'work', ',', 'specifically', 'car', 'parks', '.', 'the', 'data', 'i', 'use', 'are', 'the', 'following', ',', 'license', 'plate', 'number', ',', 'time', 'of', 'entry', ',', 'time', 'of', 'exit', ',', 'duration', 'of', 'stay', ',', 'and', 'based', 'on', 'these', 'the', 'price', 'is', 'calculated.', '<', 'br', '>', 'sometimes', 'i', 'mistakenly', 'click', 'on', 'the', 'classification', ',', 'as', 'a', 'result', 'of', 'which', 'the', 'numbers', 'get', 'confused', ',', 'i.e', '.', 'they', 'get', 'mixed', 'up', '.', 'if', 'i', 'don', '&', '#', '39', ';', 't', 'understand', 'it', 'right', 'away', 'to', 'reverse', 'it', 'with', 'undo', ',', 'what', 'options', 'do', 'i', 'have', '?']","['i', 'have', 'an', 'excel', 'file', 'that', 'i', 'use', 'for', 'work', 'specifically', 'car', 'parks', 'the', 'data', 'i', 'use', 'are', 'the', 'following', 'license', 'plate', 'number', 'time', 'of', 'entry', 'time', 'of', 'exit', 'duration', 'of', 'stay', 'and', 'based', 'on', 'these', 'the', 'price', 'is', 'br', 'sometimes', 'i', 'mistakenly', 'click', 'on', 'the', 'classification', 'as', 'a', 'result', 'of', 'which', 'the', 'numbers', 'get', 'confused', 'they', 'get', 'mixed', 'up', 'if', 'i', 'don', '39', 't', 'understand', 'it', 'right', 'away', 'to', 'reverse', 'it', 'with', 'undo', 'what', 'options', 'do', 'i', 'have']","['excel', 'file', 'use', 'work', 'specifically', 'car', 'parks', 'data', 'use', 'following', 'license', 'plate', 'number', 'time', 'entry', 'time', 'exit', 'duration', 'stay', 'based', 'price', 'br', 'sometimes', 'mistakenly', 'click', 'classification', 'result', 'numbers', 'get', 'confused', 'get', 'mixed', '39', 'understand', 'right', 'away', 'reverse', 'undo', 'options']","['excel', 'file', 'use', 'work', 'specif', 'car', 'park', 'data', 'use', 'follow', 'licens', 'plate', 'number', 'time', 'entri', 'time', 'exit', 'durat', 'stay', 'base', 'price', 'br', 'sometim', 'mistakenli', 'click', 'classif', 'result', 'number', 'get', 'confus', 'get', 'mix', '39', 'understand', 'right', 'away', 'revers', 'undo', 'option']","['excel', 'file', 'use', 'work', 'specifically', 'car', 'park', 'data', 'use', 'following', 'license', 'plate', 'number', 'time', 'entry', 'time', 'exit', 'duration', 'stay', 'based', 'price', 'br', 'sometimes', 'mistakenly', 'click', 'classification', 'result', 'number', 'get', 'confused', 'get', 'mixed', '39', 'understand', 'right', 'away', 'reverse', 'undo', 'option']","મારી પાસે એક એક્સેલ ફાઇલ છે જેનો ઉપયોગ હું કામ માટે કરું છું, ખાસ કરીને કાર પાર્ક. હું જે ડેટાનો ઉપયોગ કરું છું તે નીચે મુજબ છે, લાઇસન્સ પ્લેટ નંબર, પ્રવેશનો સમય, બહાર નીકળવાનો સમય, રોકાણનો સમયગાળો, અને આના આધારે કિંમતની<br>ગણતરી કરવામાં આવે છે. કેટલીકવાર હું ભૂલથી વર્ગીકરણ પર ક્લિક કરું છું, પરિણામે નંબરો મૂંઝવણમાં મૂકે છે, એટલે કે તેઓ ભળી જાય છે. જો હું તેને પૂર્વવત્ કરવા માટે તરત જ સમજી શકતો નથી, તો મારી પાસે કયા વિકલ્પો છે?","I have an excel file that I use for work, specifically car parks. The data I use are the following, license plate number, time of entry, time of exit, duration of stay, and based on these the price is calculated.<br>Sometimes I mistakenly click on the classification, as a result of which the numbers get confused, i.e. they get mixed up.  If I don&#39;t understand it right away to reverse it with undo, what options do I have?"
Very nice video 📹 with bramd new informstion,very nice video 📹 with bramd new informstion,"['very', 'nice', 'video', '📹', 'with', 'bramd', 'new', 'informstion']","['very', 'nice', 'video', 'with', 'bramd', 'new', 'informstion']","['nice', 'video', 'bramd', 'new', 'informstion']","['nice', 'video', 'bramd', 'new', 'informst']","['nice', 'video', 'bramd', 'new', 'informstion']",બ્રામડ ન્યૂ ઇન્ફોર્મેશન 📹 સાથે ખૂબ સરસ વિડિઓ,Very nice video :video_camera: with bramd new informstion
i like power query  but i feel the more data you have the quicker it would be to do it with formulas and creating everything yourself. especially with data sets that continually increase such as if you&#39;re tracking multiple KPI&#39;s for each month and adding all the data to an annual folder. I don&#39;t know if that can be helped though.,i like power query  but i feel the more data you have the quicker it would be to do it with formulas and creating everything yourself. especially with data sets that continually increase such as if you&#39;re tracking multiple kpi&#39;s for each month and adding all the data to an annual folder. i don&#39;t know if that can be helped though.,"['i', 'like', 'power', 'query', 'but', 'i', 'feel', 'the', 'more', 'data', 'you', 'have', 'the', 'quicker', 'it', 'would', 'be', 'to', 'do', 'it', 'with', 'formulas', 'and', 'creating', 'everything', 'yourself', '.', 'especially', 'with', 'data', 'sets', 'that', 'continually', 'increase', 'such', 'as', 'if', 'you', '&', '#', '39', ';', 're', 'tracking', 'multiple', 'kpi', '&', '#', '39', ';', 's', 'for', 'each', 'month', 'and', 'adding', 'all', 'the', 'data', 'to', 'an', 'annual', 'folder', '.', 'i', 'don', '&', '#', '39', ';', 't', 'know', 'if', 'that', 'can', 'be', 'helped', 'though', '.']","['i', 'like', 'power', 'query', 'but', 'i', 'feel', 'the', 'more', 'data', 'you', 'have', 'the', 'quicker', 'it', 'would', 'be', 'to', 'do', 'it', 'with', 'formulas', 'and', 'creating', 'everything', 'yourself', 'especially', 'with', 'data', 'sets', 'that', 'continually', 'increase', 'such', 'as', 'if', 'you', '39', 're', 'tracking', 'multiple', 'kpi', '39', 's', 'for', 'each', 'month', 'and', 'adding', 'all', 'the', 'data', 'to', 'an', 'annual', 'folder', 'i', 'don', '39', 't', 'know', 'if', 'that', 'can', 'be', 'helped', 'though']","['like', 'power', 'query', 'feel', 'data', 'quicker', 'would', 'formulas', 'creating', 'everything', 'especially', 'data', 'sets', 'continually', 'increase', '39', 'tracking', 'multiple', 'kpi', '39', 'month', 'adding', 'data', 'annual', 'folder', '39', 'know', 'helped', 'though']","['like', 'power', 'queri', 'feel', 'data', 'quicker', 'would', 'formula', 'creat', 'everyth', 'especi', 'data', 'set', 'continu', 'increas', '39', 'track', 'multipl', 'kpi', '39', 'month', 'ad', 'data', 'annual', 'folder', '39', 'know', 'help', 'though']","['like', 'power', 'query', 'feel', 'data', 'quicker', 'would', 'formula', 'creating', 'everything', 'especially', 'data', 'set', 'continually', 'increase', '39', 'tracking', 'multiple', 'kpi', '39', 'month', 'adding', 'data', 'annual', 'folder', '39', 'know', 'helped', 'though']",મને પાવર ક્વેરી ગમે છે પરંતુ મને લાગે છે કે તમારી પાસે જેટલો ઝડપી ડેટા છે તે સૂત્રો સાથે કરવું અને બધું જાતે બનાવવું હશે. ખાસ કરીને ડેટા સેટ્સ સાથે કે જે સતત વધે છે જેમ કે જો તમે દરેક મહિના માટે બહુવિધ કેપીઆઈને ટ્રેક કરી રહ્યા છો અને વાર્ષિક ફોલ્ડરમાં તમામ ડેટા ઉમેરી રહ્યા છો. મને ખબર નથી કે તે મદદ કરી શકે છે કે નહીં.,i like power query  but i feel the more data you have the quicker it would be to do it with formulas and creating everything yourself. especially with data sets that continually increase such as if you&#39;re tracking multiple KPI&#39;s for each month and adding all the data to an annual folder. I don&#39;t know if that can be helped though.
I lav ya,i lav ya,"['i', 'lav', 'ya']","['i', 'lav', 'ya']","['lav', 'ya']","['lav', 'ya']","['lav', 'ya']",i lav ya,I lav ya
your example is so cluttered and keeps me from wanting to implement this.,your example is so cluttered and keeps me from wanting to implement this.,"['your', 'example', 'is', 'so', 'cluttered', 'and', 'keeps', 'me', 'from', 'wanting', 'to', 'implement', 'this', '.']","['your', 'example', 'is', 'so', 'cluttered', 'and', 'keeps', 'me', 'from', 'wanting', 'to', 'implement', 'this']","['example', 'cluttered', 'keeps', 'wanting', 'implement']","['exampl', 'clutter', 'keep', 'want', 'implement']","['example', 'cluttered', 'keep', 'wanting', 'implement']",તમારું ઉદાહરણ એટલું અવ્યવસ્થિત છે અને મને આ અમલમાં મૂકવાની ઇચ્છાથી અટકાવે છે.,your example is so cluttered and keeps me from wanting to implement this.
"Thank you so much! I&#39;m going to use this right away; great tutorial. However, I&#39;ve noticed that when I add the flag field to pivot table, it displays &quot;image of country name...&quot; instead of the actual country flag image. Did I overlook a setting or option? Or it isn&#39;t yet GA for now?","thank you so much! i&#39;m going to use this right away; great tutorial. however, i&#39;ve noticed that when i add the flag field to pivot table, it displays &quot;image of country name...&quot; instead of the actual country flag image. did i overlook a setting or option? or it isn&#39;t yet ga for now?","['thank', 'you', 'so', 'much', '!', 'i', '&', '#', '39', ';', 'm', 'going', 'to', 'use', 'this', 'right', 'away', ';', 'great', 'tutorial', '.', 'however', ',', 'i', '&', '#', '39', ';', 've', 'noticed', 'that', 'when', 'i', 'add', 'the', 'flag', 'field', 'to', 'pivot', 'table', ',', 'it', 'displays', '&', 'quot', ';', 'image', 'of', 'country', 'name', '...', '&', 'quot', ';', 'instead', 'of', 'the', 'actual', 'country', 'flag', 'image', '.', 'did', 'i', 'overlook', 'a', 'setting', 'or', 'option', '?', 'or', 'it', 'isn', '&', '#', '39', ';', 't', 'yet', 'ga', 'for', 'now', '?']","['thank', 'you', 'so', 'much', 'i', '39', 'm', 'going', 'to', 'use', 'this', 'right', 'away', 'great', 'tutorial', 'however', 'i', '39', 've', 'noticed', 'that', 'when', 'i', 'add', 'the', 'flag', 'field', 'to', 'pivot', 'table', 'it', 'displays', 'quot', 'image', 'of', 'country', 'name', 'quot', 'instead', 'of', 'the', 'actual', 'country', 'flag', 'image', 'did', 'i', 'overlook', 'a', 'setting', 'or', 'option', 'or', 'it', 'isn', '39', 't', 'yet', 'ga', 'for', 'now']","['thank', 'much', '39', 'going', 'use', 'right', 'away', 'great', 'tutorial', 'however', '39', 'noticed', 'add', 'flag', 'field', 'pivot', 'table', 'displays', 'quot', 'image', 'country', 'name', 'quot', 'instead', 'actual', 'country', 'flag', 'image', 'overlook', 'setting', 'option', '39', 'yet', 'ga']","['thank', 'much', '39', 'go', 'use', 'right', 'away', 'great', 'tutori', 'howev', '39', 'notic', 'add', 'flag', 'field', 'pivot', 'tabl', 'display', 'quot', 'imag', 'countri', 'name', 'quot', 'instead', 'actual', 'countri', 'flag', 'imag', 'overlook', 'set', 'option', '39', 'yet', 'ga']","['thank', 'much', '39', 'going', 'use', 'right', 'away', 'great', 'tutorial', 'however', '39', 'noticed', 'add', 'flag', 'field', 'pivot', 'table', 'display', 'quot', 'image', 'country', 'name', 'quot', 'instead', 'actual', 'country', 'flag', 'image', 'overlook', 'setting', 'option', '39', 'yet', 'ga']","ખૂબ ખૂબ આભાર! હું તરત જ આનો ઉપયોગ કરવા જઈ રહ્યો છું; મહાન ટ્યુટોરીયલ. જો કે, મેં નોંધ્યું છે કે જ્યારે હું ધ્વજ ક્ષેત્રને પિવોટ ટેબલ પર ઉમેરું છું, ત્યારે તે વાસ્તવિક દેશના ધ્વજની છબીને બદલે ""દેશના નામની છબી..."" પ્રદર્શિત કરે છે. શું મેં કોઈ સેટિંગ અથવા વિકલ્પને અવગણ્યો? અથવા તે હમણાં માટે નથી?","Thank you so much! I&#39;m going to use this right away; great tutorial. However, I&#39;ve noticed that when I add the flag field to pivot table, it displays &quot;image of country name...&quot; instead of the actual country flag image. Did I overlook a setting or option? Or it isn&#39;t yet GA for now?"
Great additions to Excel,great additions to excel,"['great', 'additions', 'to', 'excel']","['great', 'additions', 'to', 'excel']","['great', 'additions', 'excel']","['great', 'addit', 'excel']","['great', 'addition', 'excel']",એક્સેલ માટે મહાન ઉમેરાઓ,Great additions to Excel
"Hi Leila, Is there a way to export or Link these table with custom formatting and images to PowerPoint? I Know it can be done as Image or entire workbook can be embedded but both are not desirable.","hi leila, is there a way to export or link these table with custom formatting and images to powerpoint? i know it can be done as image or entire workbook can be embedded but both are not desirable.","['hi', 'leila', ',', 'is', 'there', 'a', 'way', 'to', 'export', 'or', 'link', 'these', 'table', 'with', 'custom', 'formatting', 'and', 'images', 'to', 'powerpoint', '?', 'i', 'know', 'it', 'can', 'be', 'done', 'as', 'image', 'or', 'entire', 'workbook', 'can', 'be', 'embedded', 'but', 'both', 'are', 'not', 'desirable', '.']","['hi', 'leila', 'is', 'there', 'a', 'way', 'to', 'export', 'or', 'link', 'these', 'table', 'with', 'custom', 'formatting', 'and', 'images', 'to', 'powerpoint', 'i', 'know', 'it', 'can', 'be', 'done', 'as', 'image', 'or', 'entire', 'workbook', 'can', 'be', 'embedded', 'but', 'both', 'are', 'not', 'desirable']","['hi', 'leila', 'way', 'export', 'link', 'table', 'custom', 'formatting', 'images', 'powerpoint', 'know', 'done', 'image', 'entire', 'workbook', 'embedded', 'desirable']","['hi', 'leila', 'way', 'export', 'link', 'tabl', 'custom', 'format', 'imag', 'powerpoint', 'know', 'done', 'imag', 'entir', 'workbook', 'embed', 'desir']","['hi', 'leila', 'way', 'export', 'link', 'table', 'custom', 'formatting', 'image', 'powerpoint', 'know', 'done', 'image', 'entire', 'workbook', 'embedded', 'desirable']","હાય લીલા, શું આ કોષ્ટકને કસ્ટમ ફોર્મેટિંગ અને ઈમેજો સાથે પાવરપોઈન્ટ પર એક્સપોર્ટ અથવા લિંક કરવાની કોઈ રીત છે? મને ખબર છે કે તે ઇમેજ તરીકે કરી શકાય છે અથવા સમગ્ર વર્કબુક એમ્બેડ કરી શકાય છે પરંતુ બંને ઇચ્છનીય નથી.","Hi Leila, Is there a way to export or Link these table with custom formatting and images to PowerPoint? I Know it can be done as Image or entire workbook can be embedded but both are not desirable."
